Timestamp,Close,High,Low,Open,Volume_(BTC),Volume_(Currency),conversionType,conversionSymbol,Weighted_Price
1747374900,103976.94,103991.84,103938.66,103956.03,2.032,211310.64,force_direct,,103991.45669291339
1747374960,103968.56,104054.95,103968.56,103976.94,6.142,638846.55,force_direct,,104012.7889938131
1747375020,103948.09,103982.5,103907.68,103968.56,4.461,463768.85,force_direct,,103960.73750280205
1747375080,103956.7,103960.76,103942.51,103948.09,1.175,122136.83,force_direct,,103946.23829787233
1747375140,103934.56,103956.7,103913.42,103956.7,3.086,320743.67,force_direct,,103935.0842514582
1747375200,103961.4,103968.68,103913.43,103934.56,3.906,405956.75,force_direct,,103931.57962109575
1747375260,104000.03,104000.03,103915.02,103961.4,3.51,364850.19,force_direct,,103945.92307692308
1747375320,103929.03,104008.79,103881.12,104000.03,9.845,1023385.48,force_direct,,103949.76942610461
1747375380,104029.97,104029.97,103925.36,103929.03,1.975,205420.77,force_direct,,104010.5164556962
1747375440,103951.01,104031.25,103951.0,104029.97,4.345,451903.73,force_direct,,104005.46144994246
1747375500,103923.56,103982.84,103921.54,103951.01,4.236,440403.06,force_direct,,103966.72804532578
1747375560,103917.64,103937.95,103906.95,103923.56,2.284,237344.64,force_direct,,103916.21716287217
1747375620,103985.39,103985.39,103914.59,103917.64,1.834,190622.25,force_direct,,103937.97709923664
1747375680,104011.1,104027.73,103977.25,103985.39,2.263,235419.42,force_direct,,104029.79231109149
1747375740,103974.15,104022.3,103944.91,104011.1,3.263,339293.02,force_direct,,103981.9246092553
1747375800,103976.3,103983.21,103956.98,103974.15,1.655,172065.11,force_direct,,103966.833836858
1747375860,103946.55,103976.3,103946.54,103976.3,0.5774,60029.01,force_direct,,103964.34014547974
1747375920,103997.21,104000.0,103946.55,103946.55,1.897,197255.98,force_direct,,103983.12071692146
1747375980,103935.83,103997.21,103935.83,103997.21,1.883,195834.52,force_direct,,104001.33828996282
1747376040,103948.63,103948.63,103924.64,103935.83,0.5279,54869.4,force_direct,,103939.0035991665
1747376100,104034.13,104042.08,103948.62,103948.63,0.8394,87295.1,force_direct,,103997.02168215392
1747376160,104051.52,104066.18,104034.12,104034.13,0.8949,93115.25,force_direct,,104051.01128617722
1747376220,103947.06,104051.53,103940.23,104051.52,3.597,374126.95,force_direct,,104010.82846816792
1747376280,104034.95,104034.96,103947.06,103947.06,1.958,203609.95,force_direct,,103988.73850868233
1747376340,104033.02,104042.88,104020.71,104034.95,1.581,164467.17,force_direct,,104027.30550284631
1747376400,104025.67,104047.17,104020.62,104033.02,1.284,133543.17,force_direct,,104005.58411214955
1747376460,103979.35,104025.67,103979.34,104025.67,0.8083,84069.58,force_direct,,104007.89310899419
