Timestamp,Close,High,Low,Open,Volume_(BTC),Volume_(Currency),conversionType,conversionSymbol,Weighted_Price
1747380180,104106,104194,104102,104169,4.768,496704.57,force_direct,,104174.61619127517
1747380240,104101,104108,104088,104106,0.08943,9309.4,force_direct,,104097.05915240971
1747380300,104126,104126,104101,104101,0.01314,1368.51,force_direct,,104148.40182648401
1747380360,104099,104127,104099,104126,1.445,150420.63,force_direct,,104097.32179930796
1747380420,104098,104099,104090,104099,0.01516,1578.34,force_direct,,104112.13720316622
1747380480,104120,104125,104098,104098,0.01318,1372.72,force_direct,,104151.74506828528
1747380540,104106,104120,104106,104120,0.002142,223.02,force_direct,,104117.64705882354
1747380600,104050,104107,104048,104106,7.426,772845.82,force_direct,,104072.96256396444
1747380660,104000,104050,103980,104050,7.324,761813.59,force_direct,,104016.05543418897
1747380720,104003,104014,103935,104000,10.61,1102866.95,force_direct,,103945.98963242225
1747380780,103976,104004,103976,104003,10.62,1104537.05,force_direct,,104005.37193973636
1747380840,103950,103976,103946,103976,9.26,962675.31,force_direct,,103960.61663066955
1747380900,103946,103957,103932,103950,10.99,1141982.26,force_direct,,103911.03366696998
1747380960,103948,103960,103942,103946,14.89,1548168.88,force_direct,,103973.73270651443
1747381020,103958,103985,103945,103948,1.064,110645.86,force_direct,,103990.46992481203
1747381080,103919,103964,103919,103958,0.07249,7536.42,force_direct,,103964.96068423231
1747381140,103892,103919,103892,103919,0.008103,841.92,force_direct,,103902.25842280635
1747381200,103894,103895,103892,103892,0.06837,7103.65,force_direct,,103900.10238408658
1747381260,103872,103921,103871,103894,0.7047,73197.02,force_direct,,103869.76018163758
1747381320,103870,103872,103870,103872,7.008,727881.21,force_direct,,103864.3279109589
1747381380,103857,103871,103857,103870,6.064,629869.26,force_direct,,103870.2605540897
1747381440,103850,103857,103849,103857,0.005016,520.94,force_direct,,103855.66188197769
1747381500,103886,103886,103850,103850,0.01412,1466.51,force_direct,,103860.48158640227
1747381560,103881,103886,103863,103886,0.1586,16478.37,force_direct,,103898.92812105927
1747381620,103871,103889,103850,103881,6.287,653017.54,force_direct,,103867.90838237634
1747381680,103861,103884,103855,103871,0.06468,6718.97,force_direct,,103880.17934446505
1747381740,103870,103893,103861,103861,0.006128,636.53,force_direct,,103872.38903394256
1747381800,103863,103870,103857,103870,0.00891,925.42,force_direct,,103863.07519640854
1747381860,103779,103863,103758,103863,3.814,395948.43,force_direct,,103814.4808599895
1747381920,103781,103795,103779,103779,0.26,26985.69,force_direct,,103791.11538461538
1747381980,103794,103795,103760,103781,0.1277,13251.3,force_direct,,103768.98981989035
1747382040,103782,103825,103782,103794,0.1198,12432.9,force_direct,,103780.46744574289
1747382100,103758,103782,103758,103782,0.01002,1039.32,force_direct,,103724.5508982036
1747382160,103771,103772,103758,103758,0.3464,35941.26,force_direct,,103756.52424942264
1747382220,103771,103775,103770,103771,0.08731,9060.68,force_direct,,103775.97067918911
1747382280,103734,103771,103733,103771,1.302,135069.96,force_direct,,103740.36866359446
1747382340,103735,103740,103733,103734,0.007807,809.84,force_direct,,103732.54771359038
1747382400,103778,103780,103735,103735,0.326,33833.5,force_direct,,103783.74233128833
1747382460,103689,103790,103689,103778,2.141,222033.88,force_direct,,103705.68893040635
1747382520,103682,103689,103658,103689,1.6,165824.78,force_direct,,103640.48749999999
1747382580,103645,103690,103633,103682,1.224,126884.82,force_direct,,103664.068627451
1747382640,103591,103645,103591,103645,1.492,154570.49,force_direct,,103599.52412868632
1747382700,103600,103614,103584,103591,0.05059,5240.37,force_direct,,103585.09586874876
1747382760,103585,103600,103583,103600,0.2749,28476.15,force_direct,,103587.30447435433
